Fecha,Año,País,Estado,Sexo,Edad,Provocado,Fatal,Hora_limpia,Momento_día,Especie_grupo,Herida
2021-07-19,2021,AUSTRALIA,Western Australia,M,,,False,12,Tarde,Blanco,"No injury, knocked off board by shark"
2021-07-05,2021,AUSTRALIA,New South Wales,M,25,,False,16,Tarde,Blanco,Left forearm broken & lacerated
2021-07-04,2021,USA,BAHAMAS,F,19,,False,,,Toro,PROVOKED INCIDENT Lacerations to right hand
2021-06-26,2021,USA,California,M,38,,False,9,Mañana,Blanco,Posterior right thigh bitten
2021-05-18,2021,AUSTRALIA,New South Wales,M,59,,True,11,Mañana,Blanco,FATAL
2021-05-15,2021,USA,Hawaii,M,35,,False,16,Tarde,Tigre,2- to 3-inch cuts to posterior thigh
2021-04-20,2021,USA,Hawaii,F,57,,False,8,Mañana,Tigre,Puncture wound to knee
2021-04-13,2021,SOUTH AFRICA,Eastern Cape Province,M,38,,True,11,Mañana,Blanco,FATAL
2021-03-27,2021,AUSTRALIA,Western Australia,M,27,,False,12,Tarde,Toro,Injury to calf
2021-03-02,2021,NEW CALEDONIA,Loyalty Islands,M,16,,False,,,Tigre,Left leg bitten
2021-02-28,2021,NEW CALEDONIA,,M,57,,True,11,Mañana,Tigre,Right leg bitten but death due to heart attack
2021-02-20,2021,AUSTRALIA,Queensland,M,,,False,17,Tarde,Toro,Superficial wound       PROVOKED INCIDENT
2021-02-02,2021,USA,Maui,M,,,False,14,Tarde,Blanco,"No injury, kayak bitten"
2021-01-22,2021,USA,Florida,NAN,,,False,,,Blanco,No injury to occupants
2021-01-21,2021,AUSTRALIA,South Australia,M,32,,True,17,Tarde,Blanco,FATAL
2021-01-13,2021,AUSTRALIA,Western Australia,M,54,,False,7,Mañana,Toro,Severe injury to leg and broken him
2020-12-30,2020,USA,California,M,,,False,,,Blanco,No injury. Swim fin bittten
2020-12-10,2020,ST MARTIN,,F,39,,True,14,Tarde,Tigre,FATAL
2020-12-08,2020,USA,Hawaii,M,56,,True,7,Mañana,Tigre,FATAL
2020-12-06,2020,AUSTRALIA,South Australia,M,29,,False,14,Tarde,Blanco,Non-life-threatening injuries to buttock and thigh
2020-11-23,2020,NEW CALEDONIA,South Province,F,,,False,,,Tigre,Three 3-inch lacerations to thigh
2020-11-22,2020,AUSTRALIA,Western Australia,M,59,,True,8,Mañana,Toro,FATAL
2020-09-20,2020,USA,Florida,M,30,,False,10,Mañana,Toro,Severe bite to shoulder
2020-09-16,2020,AUSTRALIA,New South Wales,M,,,False,,,Blanco,"No injury, board bitten"
2020-09-07,2020,AUSTRALIA,Queensland,M,46,,True,17,Tarde,Blanco,FATAL
2020-08-30,2020,AUSTRALIA,New South Wales,NAN,,,False,,,Blanco,"Shark bit boat, no injury to occupant"
2020-08-28,2020,USA,California,M,,,False,,,Blanco,"No injury, kayak damaged"
2020-08-14,2020,AUSTRALIA,New South Wales,F,35,,False,9,Mañana,Blanco,Lacerations to right calf and posterior thigh
2020-07-31,2020,AUSTRALIA,Western Australia,M,28,,False,14,Tarde,Blanco,Lacerations to leg
2020-07-29,2020,AUSTRALIA,Tasmania,NAN,,,,9,Mañana,Blanco,"No injury to occupants, injury to shark attempting to swallow anchor"
2020-07-27,2020,USA,Maine,F,63,,True,15,Tarde,Blanco,FATAL
2020-07-22,2020,USA,North Carolina,M,,,False,17,Tarde,Toro,Left calf & foot bitten
2020-07-17,2020,AUSTRALIA,Tasmania,M,10,,False,13,Tarde,Blanco,"Lacerations to arm, head & chest"
2020-07-14,2020,USA,Florida,F,14,,False,,,Toro,Severe bite to right foot
2020-07-11,2020,AUSTRALIA,New South Wales,M,15,,True,14,Tarde,Blanco,FATAL
2020-06-22,2020,USA,Florida,M,7,,False,,,Toro,Cuts to lower leg
2020-06-10,2020,NEW CALEDONIA,South Province,M,30,,True,,,Tigre,FATAL
2020-06-07,2020,AUSTRALIA,New South Wales,M,60,,True,10,Mañana,Blanco,FATAL
2020-06-01,2020,USA,Hawaii,M,,,False,8,Mañana,Tigre,Cut to index finger of hand
2020-05-31,2020,BAHAMAS,Abaco Islands,M,,,False,,,Toro,Lacerations to left hand
2020-05-30,2020,AUSTRALIA,Queensland,M,18,,False,,,Toro,"No injury, swim fin bitten"
2020-05-28,2020,THAILAND,"Muang district of Satun province, ",M,12,,False,,,Toro,Left foot bitten
2020-05-09,2020,USA,California,M,26,,True,13,Tarde,Blanco,FATAL
2020-04-07,2020,USA,Florida,F,,,False,10,Mañana,Toro,Foot bitten
,2020,NEW ZEALAND,North Island,M,,,False,,,Blanco,"PROVOKED INCIDENT No injury, shark nudged kayak repeatedly"
2020-02-22,2020,NEW ZEALAND,North Island,M,60,,False,11,Mañana,Blanco,"Minor injury, surfboard bitten"
2020-02-05,2020,USA,Maui,M,,,False,9,Mañana,Tigre,"No injury, but paddleboard bitten"
2020-01-05,2020,AUSTRALIA,Western Australia,M,57,,True,13,Tarde,Blanco,FATAL
2019-12-20,2019,AUSTRALIA,New South Wales,NAN,,,,,,Blanco,PROVOKED INCIDENT
2019-12-12,2019,REUNION ISLAND,,M,70,,,,,Tigre,Partial remains recovered 12/26/2019 from shark
2019-12-03,2019,USA,Hawaii,M,57,,False,10,Mañana,Tigre,"No injury, inflatable paddle board was bitten by the shark"
2019-11-09,2019,SOUTH AFRICA,Eastern Cape Province,M,,,False,6,Mañana,Blanco,"No injury, kayak damaged"
2019-11-06,2019,USA,California,F,,,False,8,Mañana,Blanco,"No inury, knocked from board"
2019-11-02,2019,REUNION ISLAND,Saint-Gilles,M,44,,True,,,Tigre,Hand recovered from shark. Later confirmed death most likely due to drowning
2019-10-29,2019,AUSTRALIA,Queensland,M,,,False,10,Mañana,Tigre,Raddons right foot was severed and Maggs sustained serious lacerations to his lower right leg.
2019-10-25,2018,USA,California,M,,,False,8,Mañana,Blanco,"No injury, kayak bitten"
2019-10-05,2019,AUSTRALIA,New South Wales,M,29,,False,16,Tarde,Blanco,"No injury, surfboard severely damaged"
2019-10-05,2019,USA,California,M,51,,False,16,Tarde,Blanco,"No injury, shark bit kayak"
2019-09-07,2019,AUSTRALIA,Western Australia,M,,,False,9,Mañana,Blanco,"No injury, shark bit swim fin"
2019-07-22,2019,USA,Rhode Island,M,18,,False,18,Tarde,Tigre,Foot bitten
,2019,NEW ZEALAND,Chatham Islands,M,45,,False,,,Blanco,Shark rammed him but no injury
2019-07-10,2019,SOUTH AFRICA,Eastern Cape Province,M,,,False,10,Mañana,Blanco,Leg injured
2019-07-09,2019,AUSTRALIA,Queensland,M,43,,False,8,Mañana,Toro,Puncture wounds to wrist
2019-06-16,2019,USA,Georgia,M,64,,False,9,Mañana,Toro,Arc of lacerations to bicep
2019-05-25,2019,NEW CALEDONIA,Noumea,M,10,,False,16,Tarde,Toro,Leg severed
2019-05-17,2019,FIJI,,M,,,False,,,Tigre,Laceration to head and shark bit diver's tank
2019-05-07,2019,USA,California,F,28,,False,,,Blanco,"No injury, shark severed surfboard leash"
2019-04-23,2019,USA,Hawaii,F,65,,False,8,Mañana,Tigre,Injury to right inner thigh
2019-04-06,2019,USA,Hawaii,M,58,,False,,,Tigre,"Probable death by drowning, body scavenged by shark"
2019-04-05,2019,CHINA,Liaoning Province,F,,,False,,,Tigre,"Lacerations to face, chin and scalp"
2019-02-04,2019,USA,Hawaii,M,,,False,13,Tarde,Tigre,Multiple lacerations to leg
2019-02-02,2019,USA,Florida,M,50,,False,10,Mañana,Toro,Right wrist and hand injured
2019-01-08,2019,USA,California,M,19,,False,10,Mañana,Blanco,Cuts to both lower legs
2018-12-18,2018,MEXICO,Sonora,M,35,,True,11,Mañana,Tigre,FATAL
2018-11-14,2018,AUSTRALIA,Queensland,M,31,,False,6,Mañana,Tigre,"No injury to occupant, kayak bitten"
2018-11-11,2018,SOUTH AFRICA,KwaZulu-Natal,M,41,,False,,,Blanco,Surf-ski bitten but no injury to occupant
2018-11-11,2018,AUSTRALIA,Western Australia,M,20,,False,8,Mañana,Tigre,Injuries to lower left leg and foot
2018-10-23,2018,USA,California,M,,,False,,,Blanco,Injury to right hand / wrist
2018-10-19,2018,AUSTRALIA,New South Wales,M,50,,False,7,Mañana,Toro,Injury to upper right arm
2018-10-19,2018,NEW ZEALAND,North Island,M,25,,False,18,Tarde,Blanco,Severe lacerations to arm and hand and cut to face
2018-10-13,2018,AUSTRALIA,Western Australia,M,,,False,12,Tarde,Blanco,"No injury, claimed he was bumped by shark"
2018-09-29,2018,USA,California,M,13,,False,6,Mañana,Blanco,Traumatic injuries to upper torso
2018-09-28,2018,AUSTRALIA,Northern Territory ,M,17,,False,,,Toro,Knee bitten
2018-09-27,2018,USA,California,M,55,,False,15,Tarde,Blanco,"No injury, shark nicked kayak"
2018-09-15,2018,USA,Massachusetts,M,26,,True,12,Tarde,Blanco,FATAL
